name,firstName,lastName,playerId,height,weight,age,isManOfTheMatch,isActive,isOpta,playedPositions,positionText,playedPositionsShort,teamId,teamName,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,rating,ranking,apps,subOn,minsPlayed,manOfTheMatch,yellowCard,redCard,goal,assistTotal,shotsPerGame,aerialWonPerGame,passSuccess
Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,96182,181,76,25,false,true,true,-FW-MC-ML-MR-,Forward,"M(CLR),FW",26,Liverpool,6335,2016/2017,2,252,gb-eng,br,Premier League,EPL,7.559583333333332,23,24,0,2136,3,3.0,0.0,8,3,3.125,1.7916666666666667,79.30082796688133
Ricardo Pereira,Ricardo Domingos,Barbosa Pereira,120763,175,70,23,false,true,true,-DL-DR-MR-,Defender,"D(LR),M(R)",613,Nice,6318,2016/2017,22,74,fr,pt,Ligue 1,FL1,7.55625,24,16,0,1440,3,2.0,0.0,1,3,0.5,1.375,87.38207547169812
Loic Perrin,Loic,Perrin,13436,181,80,31,false,true,true,-DC-,Defender,D(C),145,Saint-Etienne,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.555789473684212,25,19,1,1557,2,1.0,0.0,3,0,0.7368421052631579,2.789473684210526,88.50931677018633
Robert Lewandowski,Robert,Lewandowski,29400,185,79,28,false,true,true,-FW-,Forward,FW,37,Bayern Munich,6392,2016/2017,3,81,de,pl,Bundesliga,GB,7.551428571428572,26,21,2,1763,4,3.0,0.0,16,2,3.9047619047619047,2.0476190476190474,75.47568710359408
Maxime Gonalons,Maxime,Gonalons,79560,187,76,27,false,true,true,-DC-MC-,Midfielder,"D(C),M(C)",228,Lyon,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.544000000000001,27,20,0,1736,2,4.0,1.0,1,1,0.7,2.4,90.54514480408858
Mohamed Salah,Mohamed,Salah,108226,175,72,24,false,true,true,-AMC-AML-AMR-FW-,Forward,"AM(CLR),FW",84,Roma,6461,2016/2017,5,108,it,eg,Serie A,ISA,7.5422222222222235,28,18,1,1455,3,2.0,0.0,9,6,2.5555555555555554,0.3333333333333333,78.80794701986756
Dimitri Payet,Dimitri,Payet,14058,175,77,29,false,false,true,-MC-ML-MR-,Midfielder,M(CLR),29,West Ham,6335,2016/2017,2,252,gb-eng,fr,Premier League,EPL,7.537777777777778,29,18,1,1515,5,2.0,0.0,2,6,3.0555555555555554,0.16666666666666666,80.946123521682
Kerem Demirbay,Kerem,Demirbay,115166,182,72,23,false,true,true,-AMC-,Midfielder,AM(C),1211,Hoffenheim,6392,2016/2017,3,81,de,de,Bundesliga,GB,7.528125,30,16,1,1170,4,3.0,0.0,3,5,2.0625,0.375,78.13084112149534
Filipe Luis,Filipe Luis,Kasmirski,22152,182,73,31,false,true,true,-DL-,Defender,D(L),63,Atletico Madrid,6436,2016/2017,4,206,es,br,La Liga,SLL,7.5215000000000005,31,20,0,1800,2,2.0,0.0,0,3,0.45,0.95,83.44947735191639
Zlatan Ibrahimovic,Zlatan,Ibrahimovic,3281,195,95,35,false,true,true,-FW-,Forward,FW,32,Manchester United,6335,2016/2017,2,252,gb-eng,se,Premier League,EPL,7.517083333333333,32,24,0,2160,4,5.0,0.0,15,4,4.25,3.0416666666666665,73.71244635193133
